14:11:35 [INFO] Log-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\doombot_20260416_141135.log
14:11:35 [INFO] Metrik-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\metrics_20260416_141135.csv
14:11:35 [INFO] Lade YOLO-Modell: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\..\DoomDataset\model_weights\trainedyolo.pt
14:11:35 [INFO] Lade ViZDoom-Config: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\custom_config.cfg
14:11:36 [INFO] ViZDoom initialisiert.
14:11:42 [DEBUG] Frame 154 | tic=626 | HP=100 | kein Target | action=idle | inf=19.7ms | 23.4 FPS
14:11:42 [DEBUG] Frame 155 | tic=630 | HP=100 | kein Target | action=idle | inf=18.7ms | 23.5 FPS
14:11:42 [DEBUG] Frame 156 | tic=634 | HP=100 | kein Target | action=idle | inf=17.7ms | 23.4 FPS
14:11:42 [DEBUG] Frame 157 | tic=638 | HP=100 | kein Target | action=idle | inf=17.7ms | 23.4 FPS
14:11:42 [DEBUG] Frame 158 | tic=642 | HP=100 | kein Target | action=idle | inf=17.6ms | 23.3 FPS
14:11:42 [DEBUG] Frame 159 | tic=646 | HP=100 | kein Target | action=idle | inf=18.6ms | 23.3 FPS
14:11:42 [DEBUG] Frame 160 | tic=650 | HP=100 | kein Target | action=idle | inf=18.0ms | 23.3 FPS
14:11:43 [DEBUG] Frame 161 | tic=654 | HP=100 | kein Target | action=idle | inf=17.3ms | 23.2 FPS
14:11:43 [DEBUG] Frame 162 | tic=658 | HP=100 | kein Target | action=idle | inf=15.2ms | 23.3 FPS
14:11:43 [DEBUG] Frame 163 | tic=662 | HP=100 | kein Target | action=idle | inf=20.3ms | 23.2 FPS
14:11:43 [DEBUG] Frame 164 | tic=666 | HP=100 | kein Target | action=idle | inf=20.4ms | 23.1 FPS
14:11:43 [DEBUG] Frame 165 | tic=670 | HP=100 | kein Target | action=idle | inf=19.5ms | 23.2 FPS
14:11:43 [DEBUG] Frame 166 | tic=674 | HP=100 | kein Target | action=idle | inf=18.5ms | 23.1 FPS
14:11:43 [DEBUG] Frame 167 | tic=678 | HP=100 | kein Target | action=idle | inf=19.3ms | 23.0 FPS
14:11:43 [DEBUG] Frame 168 | tic=682 | HP=100 | kein Target | action=idle | inf=19.7ms | 22.9 FPS
14:11:43 [DEBUG] Frame 169 | tic=686 | HP=100 | kein Target | action=idle | inf=19.2ms | 23.0 FPS
14:11:43 [DEBUG] Frame 170 | tic=690 | HP=100 | kein Target | action=idle | inf=17.3ms | 22.9 FPS
14:11:43 [DEBUG] Frame 171 | tic=694 | HP=100 | kein Target | action=idle | inf=18.7ms | 22.9 FPS
14:11:43 [DEBUG] Frame 172 | tic=698 | HP=100 | kein Target | action=idle | inf=18.8ms | 22.8 FPS
14:11:43 [DEBUG] Frame 173 | tic=702 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.8 FPS
14:11:43 [DEBUG] Frame 174 | tic=706 | HP=100 | kein Target | action=idle | inf=18.9ms | 22.8 FPS
14:11:43 [DEBUG] Frame 175 | tic=710 | HP=100 | kein Target | action=idle | inf=18.4ms | 22.8 FPS
14:11:43 [DEBUG] Frame 176 | tic=714 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.8 FPS
14:11:43 [DEBUG] Frame 177 | tic=718 | HP=100 | kein Target | action=idle | inf=19.0ms | 22.9 FPS
14:11:43 [DEBUG] Frame 178 | tic=722 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.8 FPS
14:11:43 [DEBUG] Frame 179 | tic=726 | HP=100 | kein Target | action=idle | inf=19.3ms | 22.8 FPS
14:11:43 [DEBUG] Frame 180 | tic=730 | HP=100 | kein Target | action=idle | inf=19.1ms | 22.7 FPS
14:11:44 [DEBUG] Frame 181 | tic=734 | HP=100 | kein Target | action=idle | inf=19.0ms | 22.6 FPS
14:11:44 [DEBUG] Frame 182 | tic=738 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.5 FPS
14:11:44 [DEBUG] Frame 183 | tic=742 | HP=100 | kein Target | action=idle | inf=19.2ms | 22.5 FPS
14:11:44 [DEBUG] Frame 184 | tic=746 | HP=100 | kein Target | action=idle | inf=19.2ms | 22.6 FPS
14:11:44 [DEBUG] Frame 185 | tic=750 | HP=100 | kein Target | action=idle | inf=18.2ms | 22.6 FPS
14:11:44 [DEBUG] Frame 186 | tic=754 | HP=100 | kein Target | action=idle | inf=17.3ms | 22.5 FPS
14:11:44 [DEBUG] Frame 187 | tic=758 | HP=100 | kein Target | action=idle | inf=19.2ms | 22.5 FPS
14:11:44 [DEBUG] Frame 188 | tic=762 | HP=100 | kein Target | action=idle | inf=18.6ms | 22.5 FPS
14:11:44 [DEBUG] Frame 189 | tic=766 | HP=100 | kein Target | action=idle | inf=18.8ms | 22.5 FPS
14:11:44 [DEBUG] Frame 190 | tic=770 | HP=100 | kein Target | action=idle | inf=19.8ms | 22.5 FPS
14:11:44 [DEBUG] Frame 191 | tic=774 | HP=100 | kein Target | action=idle | inf=18.4ms | 22.6 FPS
14:11:44 [DEBUG] Frame 192 | tic=778 | HP=100 | kein Target | action=idle | inf=19.7ms | 22.6 FPS
14:11:44 [DEBUG] Frame 193 | tic=782 | HP=100 | kein Target | action=idle | inf=16.7ms | 22.6 FPS
14:11:44 [DEBUG] Frame 194 | tic=786 | HP=100 | kein Target | action=idle | inf=16.0ms | 22.6 FPS
14:11:44 [DEBUG] Frame 195 | tic=790 | HP=100 | kein Target | action=idle | inf=18.7ms | 22.6 FPS
14:11:44 [DEBUG] Frame 196 | tic=794 | HP=100 | kein Target | action=idle | inf=18.8ms | 22.7 FPS
14:11:44 [DEBUG] Frame 197 | tic=798 | HP=100 | kein Target | action=idle | inf=15.9ms | 22.7 FPS
14:11:44 [DEBUG] Frame 198 | tic=802 | HP=100 | kein Target | action=idle | inf=18.6ms | 22.7 FPS
14:11:44 [DEBUG] Frame 199 | tic=806 | HP=100 | kein Target | action=idle | inf=18.5ms | 22.8 FPS
14:11:44 [DEBUG] Frame 200 | tic=810 | HP=100 | kein Target | action=idle | inf=16.1ms | 22.8 FPS
